"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides","area_1","area_2","area_3","area_4_and_5","area_6","area_7","area_8"
"439","E7ESC6;Q9UIA9","E7ESC6;Q9UIA9","E7ESC6;Q9UIA9","2;2","2;2","2;2","Exportin-7;Exportin-7",2,2,2,2,-4.28783495973404,-4.55791966714249,-4.61833098652325,-4.79027016165147,-4.51569006925536,-4.70678036322579,NA
"440","E7ETK0;A0A2R8Y849;A0A2R8YD14;P62847;A0A2R8Y8A0","E7ETK0;A0A2R8Y849;A0A2R8YD14;P62847;A0A2R8Y8A0","E7ETK0;A0A2R8Y849;A0A2R8YD14;P62847;A0A2R8Y8A0","3;3;3;3;2","3;3;3;3;2","3;3;3;3;2","40S ribosomal protein S24;40S ribosomal protein S24;40S ribosomal protein S24;40S ribosomal protein S24;40S ribosomal protein S24 (Fragment)",5,3,3,3,4.82546631229303,4.42827096921203,4.77902631305472,4.07814851067085,4.63577153263841,4.37822022857376,1.25092642455697
"441","E7ETK5;A0A7I2YQK5;A0A7I2V2T3;H0Y4R1;P12268;C9K0R9;A0A3B3IRL5;C9J381;P20839","E7ETK5;A0A7I2YQK5;A0A7I2V2T3;H0Y4R1;P12268;C9K0R9;A0A3B3IRL5;C9J381;P20839","E7ETK5;A0A7I2YQK5;A0A7I2V2T3;H0Y4R1;P12268","8;8;8;8;8;1;1;1;1","8;8;8;8;8;1;1;1;1","8;8;8;8;8;1;1;1;1","Inosine-5-monophosphate dehydrogenase;Inosine-5-monophosphate dehydrogenase;Inosine-5-monophosphate dehydrogenase;Inosine-5-monophosphate dehydrogenase;Inosine-5-monophosphate dehydrogenase 2",9,8,8,8,1.05862180617648,0.565457947149291,0.231382955068359,-0.368713352821992,0.378093905733223,0.715890295310434,NA
"442","E7ETZ4;Q9Y6E2;B5MCE7;Q75MG1;B5MCH7;E9PFE3;C9JF98;F8WDX8;E7EMS9","E7ETZ4;Q9Y6E2;B5MCE7;Q75MG1;B5MCH7;E9PFE3;C9JF98;F8WDX8;E7EMS9","E7ETZ4;Q9Y6E2;B5MCE7;Q75MG1;B5MCH7","3;3;2;2;2;1;1;1;1","3;3;2;2;2;1;1;1;1","2;2;1;2;1;1;1;1;1","eIF5-mimic protein 1 (Fragment);eIF5-mimic protein 1;Basic leucine zipper and W2 domains 2, isoform CRA_b;Uncharacterized protein BZW2 (Fragment);eIF5-mimic protein 1",9,3,3,2,-2.53800146109597,-2.14600779237506,-3.17024914398694,-4.19257413328693,-2.41161382390614,-2.16466615248462,NA
"443","E7EV71;Q14766;C9JD84;C9JDW2;H7C0I7;H7C2H7;H7C4L5","E7EV71;Q14766;C9JD84;C9JDW2;H7C0I7;H7C2H7;H7C4L5","E7EV71;Q14766;C9JD84","6;6;5;2;2;1;1","6;6;5;2;2;1;1","6;6;5;2;2;1;1","Latent-transforming growth factor beta-binding protein 1;Latent-transforming growth factor beta-binding protein 1;Latent-transforming growth factor beta-binding protein 1",7,6,6,6,-2.85641739480256,-3.14190973713273,-4.29235906402314,-0.296697980065133,-2.70017237911672,-1.83408884332101,NA
"444","E7EV99;E7ENY0;P35611;A0A804HL01;H0Y9H2;D6RF25;D6RJE2;D6RAH3;H0YFD8;H0YG19;P35612","E7EV99;E7ENY0;P35611;A0A804HL01;H0Y9H2;D6RF25;D6RJE2;D6RAH3;H0YFD8;H0YG19;P35612","E7EV99;E7ENY0;P35611;A0A804HL01;H0Y9H2","11;11;11;10;8;3;2;2;1;1;1","11;11;11;10;8;3;2;2;1;1;1","11;11;11;10;8;3;2;2;1;1;1","Alpha-adducin;Alpha-adducin;Alpha-adducin;Alpha-adducin;Alpha-adducin (Fragment)",11,11,11,11,0.933668828965207,0.557683062047584,0.343800666797343,1.71816588703746,0,0.278684555022849,NA
"445","E7EVV3;Q8TC71;D6RAX6;D6RGI2;D6RAW7","E7EVV3;Q8TC71;D6RAX6;D6RGI2;D6RAW7","E7EVV3;Q8TC71","17;17;4;1;1","17;17;4;1;1","17;17;4;1;1","Mitochondria-eating protein;Mitochondria-eating protein",5,17,17,17,2.50515417051993,2.84249971352019,4.45033314117003,-1.14068387339764,4.40721651381114,3.22509572423596,-1.47371780119486
"446","E7EVX8;Q8WWY3;E7EU94;E7ESX0;E7EN72","E7EVX8;Q8WWY3;E7EU94;E7ESX0;E7EN72","E7EVX8;Q8WWY3;E7EU94;E7ESX0;E7EN72","2;2;1;1;1","2;2;1;1;1","2;2;1;1;1","U4/U6 small nuclear ribonucleoprotein Prp31;U4/U6 small nuclear ribonucleoprotein Prp31;U4/U6 small nuclear ribonucleoprotein Prp31 (Fragment);U4/U6 small nuclear ribonucleoprotein Prp31 (Fragment);U4/U6 small nuclear ribonucleoprotein Prp31 (Fragment)",5,2,2,2,-3.51592951654582,-0.275823301640525,-3.55061908617266,NA,0.354850758354097,-0.918417442865941,NA
"447","E7EW69;E7EX04;B5ME97;Q9P0V9;C9JEW2;C9JNR7","E7EW69;E7EX04;B5ME97;Q9P0V9;C9JEW2;C9JNR7","E7EW69;E7EX04;B5ME97;Q9P0V9","4;4;4;4;1;1","4;4;4;4;1;1","4;4;4;4;1;1","Septin;Septin;Septin 10, isoform CRA_c;Septin-10",6,4,4,4,-0.717798460544486,-0.735013007531663,-0.729072459953482,-2.18426233068107,-1.18648830009486,-1.10200211770245,NA
"448","E7EX17;P23588;F8VX11;F8W0K0;F8VYE9;F8VSC7;F8VP89;F8VRU1","E7EX17;P23588;F8VX11;F8W0K0;F8VYE9;F8VSC7;F8VP89;F8VRU1","E7EX17;P23588;F8VX11;F8W0K0;F8VYE9;F8VSC7;F8VP89","8;8;5;4;4;4;4;1","8;8;5;4;4;4;4;1","8;8;5;4;4;4;4;1","Eukaryotic translation initiation factor 4B;Eukaryotic translation initiation factor 4B;Eukaryotic translation initiation factor 4B (Fragment);Eukaryotic translation initiation factor 4B (Fragment);Eukaryotic translation initiation factor 4B;Eukaryotic tra",8,8,8,8,0.479129003936233,-0.679792370109123,0.265662437342165,-0.729380998938215,0.202970954538589,-0.155861103145206,-0.304903334054858
"449","E7EX73;E9PGM1;E7EUU4;A0A7I2Y1C3;Q04637;C9J6B6;C9JF13;C9J2Z7;C9K073;H7C0V6;H7C044;A0A6Q8PFB2;F8WCF2;C9JHW9","E7EX73;E9PGM1;E7EUU4;A0A7I2Y1C3;Q04637;C9J6B6;C9JF13;C9J2Z7;C9K073;H7C0V6;H7C044;A0A6Q8PFB2;F8WCF2;C9JHW9","E7EX73;E9PGM1;E7EUU4;A0A7I2Y1C3;Q04637","13;13;13;13;13;6;6;5;5;3;2;2;1;1","13;13;13;13;13;6;6;5;5;3;2;2;1;1","13;13;13;13;13;6;6;5;5;3;2;2;1;1","Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1;Eukaryotic translation initiation factor 4 gamma 1",14,13,13,13,-1.19606881399823,-1.48468808364467,-1.29418947917686,-2.7558675049528,-1.21451644363396,-1.07655788846973,NA
"450","E7EX90;A0A7P0Z4C3;A0A804CDA6;Q14203;Q6AWB1;E7EWF7;C9JJD0;C9JKG6;E9PCY0;C9J1B7;C9JZA4;C9JTE5;C9JJN7","E7EX90;A0A7P0Z4C3;A0A804CDA6;Q14203;Q6AWB1;E7EWF7;C9JJD0;C9JKG6;E9PCY0;C9J1B7;C9JZA4;C9JTE5;C9JJN7","E7EX90;A0A7P0Z4C3;A0A804CDA6;Q14203;Q6AWB1","18;18;18;18;10;5;2;2;2;1;1;1;1","18;18;18;18;10;5;2;2;2;1;1;1;1","18;18;18;18;10;5;2;2;2;1;1;1;1","Dynactin subunit 1;Dynactin subunit 1;Dynactin subunit 1;Dynactin subunit 1;Dynactin subunit 1",13,18,18,18,-0.895560609550508,-0.848579644241266,-0.957867427870163,-1.49014937988698,-0.997944819959454,-0.750550033363083,NA
"451","E9PB61;Q86V81","E9PB61;Q86V81","E9PB61;Q86V81","5;5","5;5","5;5","THO complex subunit 4;THO complex subunit 4",2,5,5,5,2.76775348086753,2.87748563899484,3.05673324353985,1.66123232038832,3.03378279097415,3.06870939119771,2.28803599876375
"452","E9PBZ2;P15428;D6RHF8;E9PD69","E9PBZ2;P15428;D6RHF8;E9PD69","E9PBZ2;P15428;D6RHF8;E9PD69","3;3;2;2","3;3;2;2","3;3;2;2","15-hydroxyprostaglandin dehydrogenase [NAD(+)];15-hydroxyprostaglandin dehydrogenase [NAD(+)];15-hydroxyprostaglandin dehydrogenase [NAD(+)];15-hydroxyprostaglandin dehydrogenase [NAD(+)]",4,3,3,3,-2.22526279543687,-0.747483899319423,-2.69383884932517,NA,-2.91077774425651,-1.83725073353632,NA
"453","E9PCT3;P51636","E9PCT3;P51636","E9PCT3;P51636","2;2","2;2","2;2","Caveolin;Caveolin-2",2,2,2,2,-2.36574451110006,-0.862464180602036,NA,3.12225999366487,0.627757783951601,-2.16524112922997,NA
"454","E9PDF6;O43795;E7EQD9;H7C2Y7;C9JYW1;A0A0U1RRI3;C9JUP5","E9PDF6;O43795;E7EQD9;H7C2Y7;C9JYW1;A0A0U1RRI3;C9JUP5","E9PDF6;O43795","11;11;4;3;2;2;1","11;11;4;3;2;2;1","10;10;3;3;1;2;1","Unconventional myosin-Ib;Unconventional myosin-Ib",7,11,11,10,-1.28095449655439,-0.401624000938124,-1.22935162644699,NA,-1.45161189183806,-1.83064362457633,NA
"455","E9PDI2;P40123;F8WDB9;B7Z385","E9PDI2;P40123;F8WDB9;B7Z385","E9PDI2;P40123;F8WDB9","3;3;2;1","3;3;2;1","3;3;2;1","Adenylyl cyclase-associated protein;Adenylyl cyclase-associated protein 2;Adenylyl cyclase-associated protein 2",4,3,3,3,-3.18427681009276,-2.97628022401073,-2.51678926373342,-1.98020929593976,-2.27464759081125,-2.90081323577475,NA
"456","E9PEB5;Q96AE4;C9JSZ1","E9PEB5;Q96AE4;C9JSZ1","E9PEB5;Q96AE4","15;15;5","13;13;5","12;12;5","Far upstream element-binding protein 1;Far upstream element-binding protein 1",3,15,13,12,1.02658882325912,1.05083676130565,1.1933142723388,-0.80721913260474,1.08470672613683,0.925677344229669,NA
"457","E9PEQ6;Q9UNP9;E9PK21;E9PKY5","E9PEQ6;Q9UNP9;E9PK21;E9PKY5","E9PEQ6;Q9UNP9;E9PK21;E9PKY5","2;2;1;1","2;2;1;1","2;2;1;1","Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase E;Peptidyl-prolyl cis-trans isomerase E;Peptidyl-prolyl cis-trans isomerase (Fragment)",4,2,2,2,-2.11549994304615,-1.58802094280421,NA,-3.02593200312491,-2.02631682880515,-1.75237492583399,NA
"458","E9PES6;E7ES08;E7EQU1;O15347","E9PES6;E7ES08;E7EQU1;O15347","E9PES6;E7ES08;E7EQU1;O15347","3;3;3;3","3;3;3;3","3;3;3;3","High mobility group protein B3 (Fragment);High mobility group protein B3 (Fragment);High mobility group protein B3 (Fragment);High mobility group protein B3",4,3,3,3,1.38281574022651,1.79517418680903,1.30120629487228,0.0391927678602748,1.5877431449645,2.0059903062787,NA
"459","E9PEX6;P09622","E9PEX6;P09622","E9PEX6;P09622","7;7","7;7","7;7","Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial",2,7,7,7,0.695247990748832,0.7847571258099,1.30011943271359,-0.415037499278842,0.855104500494345,1.15307505695411,NA
"460","E9PF10;O75694","E9PF10;O75694","E9PF10;O75694","7;7","7;7","7;7","Nuclear pore complex protein Nup155;Nuclear pore complex protein Nup155",2,7,7,7,-3.47828503875701,-3.11771706871638,-4.99535164148223,NA,-2.78423931705024,-3.09897793926787,NA
"461","E9PF16;Q96CM8","E9PF16;Q96CM8","E9PF16;Q96CM8","3;3","3;3","3;3","Medium-chain acyl-CoA ligase ACSF2, mitochondrial;Medium-chain acyl-CoA ligase ACSF2, mitochondrial",2,3,3,3,0.141350720459982,0.121231805115826,0.8777193258666,NA,-0.00694759420086299,-3.5819700396151,NA
"462","E9PF19;Q9Y4P3","E9PF19;Q9Y4P3","E9PF19;Q9Y4P3","2;2","2;2","2;2","Transducin beta-like protein 2;Transducin beta-like protein 2",2,2,2,2,-2.66978782569362,-2.75757485152213,-2.49398602236221,-3.49353212162236,-2.78721760229165,-2.55370471036403,NA
"463","E9PFN5;Q9Y2Q3;C9JNT3","E9PFN5;Q9Y2Q3;C9JNT3","E9PFN5;Q9Y2Q3;C9JNT3","2;2;1","2;2;1","2;2;1","Glutathione S-transferase kappa;Glutathione S-transferase kappa 1;Glutathione S-transferase kappa 1 (Fragment)",3,2,2,2,-1.01148298577086,-0.889126587853937,-0.923036188112118,-2.50467471176352,-0.733671870061766,-0.830270540589826,NA
"464","E9PFZ2;P00450;H7C5R1;D6RE86","E9PFZ2;P00450;H7C5R1;D6RE86","E9PFZ2;P00450;H7C5R1","4;4;3;1","4;4;3;1","4;4;3;1","Ceruloplasmin;Ceruloplasmin;Ceruloplasmin (Fragment)",4,4,4,4,-4.90758494002839,-4.20141504000492,NA,-2.54233021736299,-4.48828922350486,-3.83992710871548,NA
"465","E9PGC8;P78559","E9PGC8;P78559","E9PGC8;P78559","21;21","20;20","20;20","Microtubule-associated protein 1A;Microtubule-associated protein 1A",2,21,20,20,-2.58074504216734,-2.60518981914401,-1.89837277528279,-2.29061065018622,-1.14246444356099,-1.21765239651731,-3.64094277532573
"466","E9PGM4;Q04446","E9PGM4;Q04446","E9PGM4;Q04446","4;4","4;4","4;4","1,4-alpha-glucan branching enzyme;1,4-alpha-glucan-branching enzyme",2,4,4,4,-1.68215783290634,-1.95833208495608,-2.17615988327545,-2.33412352360237,-2.16904091521255,-1.71741971597595,NA
"467","E9PHI4;O94901;A0A8I5G938;H0Y6N5;H0Y742;C9JK55;H7C2K3;H7C019;C9K051","E9PHI4;O94901;A0A8I5G938;H0Y6N5;H0Y742;C9JK55;H7C2K3;H7C019;C9K051","E9PHI4;O94901;A0A8I5G938;H0Y6N5;H0Y742","7;7;6;4;4;3;3;2;1","7;7;6;4;4;3;3;2;1","7;7;6;4;4;3;3;2;1","SUN domain-containing protein 1;SUN domain-containing protein 1;SUN domain-containing protein 1;SUN domain-containing protein 1 (Fragment);SUN domain-containing protein 1 (Fragment)",9,7,7,7,-3.00924422410466,-2.06729623380397,-2.75530678732302,-1.9790157592512,-3.01604849335133,-2.34217571964051,NA
"468","E9PHN6;F6XZQ7;P28161;E9PLF1;E9PHN7;E9PGV1;H3BQT3;B9ZVX7;A0A0A0MR85;Q03013","E9PHN6;F6XZQ7;P28161;E9PLF1;E9PHN7;E9PGV1;H3BQT3;B9ZVX7;A0A0A0MR85;Q03013","E9PHN6;F6XZQ7;P28161;E9PLF1;E9PHN7","6;6;6;5;5;2;1;1;1;1","5;5;5;4;4;2;1;1;1;1","4;4;4;3;3;2;0;0;0;0","Glutathione S-transferase;Glutathione S-transferase;Glutathione S-transferase Mu 2;Glutathione S-transferase Mu 2 (Fragment);Glutathione S-transferase Mu 2",10,6,5,4,2.26193462289484,2.47392408319282,0.750653824936958,1.56873122996274,1.6319444235039,2.09502953914813,NA
"469","E9PHY5;O43491;E9PK52;E9PII3;A0A2R8Y5B3;Q6R5J7;H0Y5B0;E9PQD2;Q6ZSX4;E9PN54;E9PMV8;E9PQN0;E9PRG1;E9PIG0;E9PJP4;E9PPC9;E9PMG5","E9PHY5;O43491;E9PK52;E9PII3;A0A2R8Y5B3;Q6R5J7;H0Y5B0;E9PQD2;Q6ZSX4;E9PN54;E9PMV8;E9PQN0;E9PRG1;E9PIG0;E9PJP4;E9PPC9;E9PMG5","E9PHY5;O43491;E9PK52;E9PII3;A0A2R8Y5B3","16;16;13;10;9;7;5;3;3;3;3;2;2;2;1;1;1","16;16;13;10;9;7;5;3;3;3;3;2;2;2;1;1;1","16;16;13;10;9;7;5;3;3;3;3;2;2;2;1;1;1","Band 4.1-like protein 2;Band 4.1-like protein 2;Band 4.1-like protein 2;Band 4.1-like protein 2;Band 4.1-like protein 2 (Fragment)",17,16,16,16,0.422174679848656,0.516405130712037,0.20460840283722,1.57801373866321,-0.14201049464409,-0.088380997173747,-2.03015522817005
"470","E9PI68;Q15005;E9PL01;E9PRB9;H0YE04","E9PI68;Q15005;E9PL01;E9PRB9;H0YE04","E9PI68;Q15005;E9PL01;E9PRB9","5;5;4;3;1","5;5;4;3;1","5;5;4;3;1","Signal peptidase complex subunit 2;Signal peptidase complex subunit 2;Signal peptidase complex subunit 2;Signal peptidase complex subunit 2",5,5,5,5,0.542148171500592,0.484233688436877,1.27873126211646,1.01382353601597,0.192246548014904,0.321846531498711,NA
"471","E9PIE4;Q9Y6C9","E9PIE4;Q9Y6C9","E9PIE4;Q9Y6C9","5;5","5;5","5;5","Mitochondrial carrier homolog 2 (Fragment);Mitochondrial carrier homolog 2",2,5,5,5,1.42838190587315,1.27059336562448,1.96916455323872,NA,1.61901313946417,1.30750802370661,NA
"472","E9PIR7;A0A182DWI3;Q16881;E9PKD3;E9PQI3;E9PLT3;E9PKI4;A0A0B4J225;E9PIZ5","E9PIR7;A0A182DWI3;Q16881;E9PKD3;E9PQI3;E9PLT3;E9PKI4;A0A0B4J225;E9PIZ5","E9PIR7;A0A182DWI3;Q16881;E9PKD3","8;8;8;4;2;2;2;2;2","8;8;8;4;2;2;2;2;2","8;8;8;4;2;2;2;2;2","Thioredoxin-disulfide reductase;Thioredoxin-disulfide reductase;Thioredoxin reductase 1, cytoplasmic;Thioredoxin reductase 1, cytoplasmic (Fragment)",9,8,8,8,-0.715211348490953,-1.08275893404871,-0.158641380836073,-1.29658360602803,-0.469668810952179,-0.571383477908984,NA
"473","E9PJD9;E9PLL6;P46776;E9PLX7","E9PJD9;E9PLL6;P46776;E9PLX7","E9PJD9;E9PLL6;P46776","3;3;3;1","3;3;3;1","3;3;3;1","60S ribosomal protein L27a;60S ribosomal protein L27a;60S ribosomal protein L27a",4,3,3,3,2.98088851798158,3.05737239111593,3.01512175451747,2.93608039528352,3.23405772337551,3.13402912713703,NA
"474","E9PK47;P06737","E9PK47;P06737","E9PK47;P06737","11;11","6;6","5;5","Alpha-1,4 glucan phosphorylase;Glycogen phosphorylase, liver form",2,11,6,5,-2.25128477518066,-2.32630437578797,NA,-2.52681891007899,-3.4310693555233,-2.85615798726402,NA
"475","E9PKG1;Q99873;E9PNR9;E9PQ98;E9PIX6;H0YDE4;Q9NR22","E9PKG1;Q99873;E9PNR9;E9PQ98;E9PIX6;H0YDE4;Q9NR22","E9PKG1;Q99873;E9PNR9;E9PQ98;E9PIX6;H0YDE4","8;8;4;4;4;4;2","8;8;4;4;4;4;2","8;8;4;4;4;4;2","Protein arginine N-methyltransferase 1;Protein arginine N-methyltransferase 1;Protein arginine N-methyltransferase 1 (Fragment);Protein arginine N-methyltransferase 1 (Fragment);Protein arginine N-methyltransferase 1 (Fragment);Protein arginine N-methyltra",7,8,8,8,1.070488981863,1.33444966427177,1.57193965486092,-0.545316696260866,1.31698368481249,0.987709246831749,NA
"476","E9PKP7;P17480;E9PLT2;H0YDH7","E9PKP7;P17480;E9PLT2;H0YDH7","E9PKP7;P17480","6;6;2;1","6;6;2;1","6;6;2;1","Nucleolar transcription factor 1;Nucleolar transcription factor 1",4,6,6,6,-0.873928542473841,-0.827180593051708,-0.730895520384475,-1.90144963535568,-1.12598715538946,-1.03409661530344,NA
"477","E9PLA9;G3V153;Q14444","E9PLA9;G3V153;Q14444","E9PLA9;G3V153;Q14444","4;4;4","4;4;4","4;4;4","Caprin-1 (Fragment);Caprin-1;Caprin-1",3,4,4,4,0.293693853853913,0.591130751931669,0.698465548096706,-0.279171508970958,0.909876493693417,1.00372506811399,NA
"478","E9PLK3;P55786;A0A7I2V389;A0A7I2V3W8;E9PPZ2;A6NEC2;A0A7I2V604;H0YDG0;E9PP11;E9PJY4;E9PPD4;A0A7I2V5D4;E9PJ74;H0YCQ5;E9PI82;E9PJF9;A0A7I2V5M8;E9PRQ5;A0A7I2YQS3","E9PLK3;P55786;A0A7I2V389;A0A7I2V3W8;E9PPZ2;A6NEC2;A0A7I2V604;H0YDG0;E9PP11;E9PJY4;E9PPD4;A0A7I2V5D4;E9PJ74;H0YCQ5;E9PI82;E9PJF9;A0A7I2V5M8;E9PRQ5;A0A7I2YQS3","E9PLK3;P55786;A0A7I2V389;A0A7I2V3W8","26;26;23;23;12;10;7;5;4;3;3;2;2;1;1;1;1;1;1","26;26;23;23;12;10;7;5;4;3;3;2;2;1;1;1;1;1;1","26;26;23;23;12;10;7;5;4;3;3;2;2;1;1;1;1;1;1","Aminopeptidase;Puromycin-sensitive aminopeptidase;Aminopeptidase;Aminopeptidase",19,26,26,26,1.28556768043908,1.34721261619367,0.446744827312866,1.33117904750903,0.754098144114604,1.10766017879677,NA
"479","E9PLV6;E9PPZ9;O43292;E9PLG8;E9PM94;E9PM11;E9PQ31","E9PLV6;E9PPZ9;O43292;E9PLG8;E9PM94;E9PM11;E9PQ31","E9PLV6;E9PPZ9;O43292","3;3;3;1;1;1;1","3;3;3;1;1;1;1","3;3;3;1;1;1;1","Glycosylphosphatidylinositol anchor attachment 1 protein;Glycosylphosphatidylinositol anchor attachment 1 protein (Fragment);Glycosylphosphatidylinositol anchor attachment 1 protein",7,3,3,3,2.68599508607141,2.25443829368522,4.91816664272651,-4.14938439621047,2.45015066881367,-2.22425463395398,4.23126831928715
"480","E9PM92;O00193;E9PQA1;E9PRZ9","E9PM92;O00193;E9PQA1;E9PRZ9","E9PM92;O00193;E9PQA1;E9PRZ9","2;2;1;1","2;2;1;1","2;2;1;1","Small acidic protein;Small acidic protein;Chromosome 11 open reading frame 58;Chromosome 11 open reading frame 58 (Fragment)",4,2,2,2,-0.992931938847661,-0.758139537688159,-0.915866608406057,NA,-0.793228321647536,-0.964073326430906,NA
"481","E9PMH2;A0A804HKH9;O00170;A0A804HJ46;A0A804HKK3;A0A804HKL7;A0A804HIX8;A0A804HJ38;V9GYQ3;A0A804HKP8","E9PMH2;A0A804HKH9;O00170;A0A804HJ46;A0A804HKK3;A0A804HKL7;A0A804HIX8;A0A804HJ38;V9GYQ3;A0A804HKP8","E9PMH2;A0A804HKH9;O00170;A0A804HJ46;A0A804HKK3;A0A804HKL7;A0A804HIX8;A0A804HJ38;V9GYQ3","3;3;3;2;2;2;2;2;2;1","3;3;3;2;2;2;2;2;2;1","3;3;3;2;2;2;2;2;2;1","Peptidylprolyl isomerase;Peptidylprolyl isomerase (Fragment);AH receptor-interacting protein;AH receptor-interacting protein;AH receptor-interacting protein;AH receptor-interacting protein;Peptidylprolyl isomerase;Peptidylprolyl isomerase;Peptidylprolyl is",10,3,3,3,-0.247090907293803,-0.904538941604997,-0.435263809400105,-1.12812921377877,-1.20405450481534,-0.845688547798311,NA
"482","E9PMS6;A0A0A0MTE2;E9PMT2;F8WD26;J3KP06;Q8WWI1;E9PMP7;H0Y424;H0YDQ3;H0YDG6;H0YE95;E9PLU6;E9PK58;E9PJ10","E9PMS6;A0A0A0MTE2;E9PMT2;F8WD26;J3KP06;Q8WWI1;E9PMP7;H0Y424;H0YDQ3;H0YDG6;H0YE95;E9PLU6;E9PK58;E9PJ10","E9PMS6;A0A0A0MTE2;E9PMT2;F8WD26;J3KP06;Q8WWI1;E9PMP7;H0Y424","16;15;15;15;15;15;14;13;6;4;3;2;2;2","16;15;15;15;15;15;14;13;6;4;3;2;2;2","16;15;15;15;15;15;14;13;6;4;3;2;2;2","LIM domain only protein 7;LIM domain only protein 7;LIM domain only protein 7;LIM domain only protein 7;LIM domain only protein 7;LIM domain only protein 7;LIM domain only protein 7 (Fragment);LIM domain only protein 7 (Fragment)",14,16,16,16,-2.18758489939766,-0.84079610283057,-1.03263606984629,NA,-0.928698202274763,-1.2959380604123,NA
"483","E9PNG3;A0A8I5QJA6;E9PLT0;A0A8I5KPC0;A0A8I5KXH5;A0A8I5KPJ6;A0A8I5KV85;A0A8I5QKX0;A0A8I5KW72;O75534;A0A8I5KW29;A0A8I5KS07;A0A8I5KPQ8;A0A8I5KWW0;A0A8I5KXL1;A0A8I5KYL8;A0A8I5KTQ3","E9PNG3;A0A8I5QJA6;E9PLT0;A0A8I5KPC0;A0A8I5KXH5;A0A8I5KPJ6;A0A8I5KV85;A0A8I5QKX0;A0A8I5KW72;O75534;A0A8I5KW29;A0A8I5KS07;A0A8I5KPQ8;A0A8I5KWW0;A0A8I5KXL1;A0A8I5KYL8;A0A8I5KTQ3","E9PNG3;A0A8I5QJA6;E9PLT0;A0A8I5KPC0;A0A8I5KXH5;A0A8I5KPJ6;A0A8I5KV85;A0A8I5QKX0;A0A8I5KW72;O75534;A0A8I5KW29;A0A8I5KS07;A0A8I5KPQ8;A0A8I5KWW0;A0A8I5KXL1;A0A8I5KYL8;A0A8I5KTQ3","3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2","3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2","3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2","Cold shock domain-containing protein E1;Cold shock domain-containing protein E1;Cold shock domain-containing protein E1;Cold shock domain-containing protein E1;Cold shock domain-containing protein E1;Cold shock domain-containing protein E1;Cold shock domai",17,3,3,3,-2.96507495462994,-3.17316502006614,-4.0917700118673,NA,-3.35511026416575,-3.37372435448601,NA
"484","E9PP76;J3KNF4;O14618","E9PP76;J3KNF4;O14618","E9PP76;J3KNF4;O14618","2;2;2","2;2;2","2;2;2","Copper chaperone for superoxide dismutase (Fragment);Superoxide dismutase copper chaperone;Copper chaperone for superoxide dismutase",3,2,2,2,-3.00076847323711,-2.70861239811697,-2.77716476868059,NA,-4.20064700936747,-3.65017868892638,NA
"485","E9PPC8;E9PK68;Q08209;E7ETC2;Q5F2F8;P16298;H0YB02;G3V111;P48454","E9PPC8;E9PK68;Q08209;E7ETC2;Q5F2F8;P16298;H0YB02;G3V111;P48454","E9PPC8;E9PK68;Q08209;E7ETC2;Q5F2F8;P16298","4;4;4;2;2;2;1;1;1","4;4;4;2;2;2;1;1;1","4;4;4;2;2;2;1;1;1","Serine/threonine-protein phosphatase (Fragment);Serine/threonine-protein phosphatase (Fragment);Protein phosphatase 3 catalytic subunit alpha;Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase;Serine/threonine-protein phosphatase 2B ",9,4,4,4,0.324898374409916,0.102559284893751,-0.83609367628033,-0.749069726688603,0.0388167008330456,0.143926408011733,NA
"486","E9PPI9;Q9NPD3","E9PPI9;Q9NPD3","E9PPI9;Q9NPD3","2;2","2;2","2;2","Exosome complex component RRP41;Exosome complex component RRP41",2,2,2,2,-1.39372425640753,-1.09500060589668,-1.28317307007301,NA,-1.6051345893054,-2.03113988107616,NA
"487","E9PQP6;P49354;H0YCW1;B3KVN2;E9PPM9","E9PQP6;P49354;H0YCW1;B3KVN2;E9PPM9","E9PQP6;P49354;H0YCW1;B3KVN2;E9PPM9","4;4;3;3;2","4;4;3;3;2","4;4;3;3;2","Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (Fragment);Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (Fragment);Farnesylt",5,4,4,4,0.0413111366556436,-0.0630294636227724,-3.35039015511923,-4.46928282739705,-0.52467425821002,-0.335997965581388,NA
